date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-05-03,2.1,20.7,Sagar-Sandheads
2021-05-04,31.1,20.2,Sagar-Sandheads
2021-05-05,11.4,18.5,Sagar-Sandheads
2021-05-06,0.0,17.1,Sagar-Sandheads
2021-05-07,0.4,22.1,Sagar-Sandheads
2021-05-08,0.0,22.4,Sagar-Sandheads
2021-05-09,0.0,19.5,Sagar-Sandheads
2021-05-10,11.4,22.7,Sagar-Sandheads
2021-05-11,16.6,21.2,Sagar-Sandheads
2021-05-12,0.0,21.3,Sagar-Sandheads
2021-05-13,8.4,23.9,Sagar-Sandheads
2021-05-14,1.4,20.0,Sagar-Sandheads
2021-05-15,0.0,24.4,Sagar-Sandheads
2021-05-16,0.0,23.6,Sagar-Sandheads
2021-05-17,0.0,25.5,Sagar-Sandheads
2021-05-18,0.0,28.2,Sagar-Sandheads
2021-05-19,1.7,28.4,Sagar-Sandheads
2021-05-20,0.0,28.4,Sagar-Sandheads
2021-05-21,0.3,25.8,Sagar-Sandheads
2021-05-22,0.7,21.9,Sagar-Sandheads
2021-05-23,1.0,18.6,Sagar-Sandheads
2021-05-24,31.7,23.8,Sagar-Sandheads
2021-05-25,29.1,48.3,Sagar-Sandheads
2021-05-26,32.2,59.7,Sagar-Sandheads
2021-05-27,11.3,45.7,Sagar-Sandheads
2021-05-28,0.2,30.4,Sagar-Sandheads
2021-05-29,1.9,22.8,Sagar-Sandheads
2021-05-30,2.5,26.5,Sagar-Sandheads
2021-05-31,0.9,29.5,Sagar-Sandheads
2021-06-01,0.2,28.3,Sagar-Sandheads
2021-06-02,2.5,23.8,Sagar-Sandheads
2021-06-03,2.2,21.7,Sagar-Sandheads
2021-06-04,0.9,25.3,Sagar-Sandheads
2021-06-05,0.0,26.5,Sagar-Sandheads
2021-06-06,0.0,29.3,Sagar-Sandheads
2021-06-07,0.7,28.5,Sagar-Sandheads
2021-06-08,0.1,28.8,Sagar-Sandheads
2021-06-09,9.8,28.1,Sagar-Sandheads
2021-06-10,18.4,15.3,Sagar-Sandheads
2021-06-11,7.5,11.2,Sagar-Sandheads
2021-06-12,7.4,13.2,Sagar-Sandheads
2021-06-13,12.2,17.2,Sagar-Sandheads
2021-06-14,16.9,23.7,Sagar-Sandheads
2021-06-15,21.6,27.8,Sagar-Sandheads
2021-06-16,15.8,31.0,Sagar-Sandheads
2021-06-17,58.4,28.9,Sagar-Sandheads
2021-06-18,42.9,27.7,Sagar-Sandheads
2021-06-19,24.5,31.8,Sagar-Sandheads
2021-06-20,3.7,22.4,Sagar-Sandheads
2021-06-21,1.5,12.0,Sagar-Sandheads
2021-06-22,23.9,19.8,Sagar-Sandheads
2021-06-23,6.0,24.5,Sagar-Sandheads
2021-06-24,4.4,24.3,Sagar-Sandheads
2021-06-25,2.1,22.6,Sagar-Sandheads
2021-06-26,3.9,22.3,Sagar-Sandheads
2021-06-27,5.4,24.5,Sagar-Sandheads
2021-06-28,2.4,29.3,Sagar-Sandheads
2021-06-29,1.0,33.3,Sagar-Sandheads
2021-06-30,1.2,32.6,Sagar-Sandheads
2021-07-01,1.7,33.8,Sagar-Sandheads
2021-07-02,4.1,29.0,Sagar-Sandheads
2021-07-03,0.8,22.9,Sagar-Sandheads
2021-07-04,3.9,19.4,Sagar-Sandheads
2021-07-05,18.2,21.4,Sagar-Sandheads
2021-07-06,8.0,20.8,Sagar-Sandheads
2021-07-07,10.9,21.1,Sagar-Sandheads
2021-07-08,22.9,22.7,Sagar-Sandheads
2021-07-09,2.0,17.7,Sagar-Sandheads
2021-07-10,6.9,14.0,Sagar-Sandheads
2021-07-11,6.9,22.3,Sagar-Sandheads
2021-07-12,3.7,21.0,Sagar-Sandheads
2021-07-13,7.8,26.8,Sagar-Sandheads
2021-07-14,5.8,24.3,Sagar-Sandheads
2021-07-15,0.4,19.4,Sagar-Sandheads
2021-07-16,1.1,17.9,Sagar-Sandheads
2021-07-17,2.4,19.7,Sagar-Sandheads
